Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
ProMach,Leonard Green & Partners,promachbuilt.com,"1,800,000,000",Unknown,Unknown,Unknown
Prometheus Group,Leonard Green & Partners,prometheusgroup.com,"241,500,000",AWS,Azure,GCP
Propio,Leonard Green & Partners,propio.com,"96,000,000",Unknown,Unknown,Unknown
Pure Gym,Leonard Green & Partners,puregym.com,"760,110,000",Unknown,Unknown,Unknown
Pye-Barker Fire & Safety,Leonard Green & Partners,pyebarkerfire.com,"1,000,000,000",Unknown,Unknown,Unknown
Service Logic,Leonard Green & Partners,servicelogic.com,"2,200,000,000",Unknown,Unknown,Unknown
The Shade Store,Leonard Green & Partners,theshadestore.com,"100,000,000",GCP,Unknown,Unknown
SRS Distribution,Leonard Green & Partners,srsdistribution.com,"10,000,000,000",Unknown,Unknown,Unknown
Stella Environmental Services,Leonard Green & Partners,stellaenv.com,Unknown,Unknown,Unknown,Unknown
Stepping Stones Group,Leonard Green & Partners,thesteppingstonesgroup.com,Unknown,Unknown,Unknown,Unknown
Sun Auto Tire & Service,Leonard Green & Partners,sun.auto,"713,000,000",Unknown,Unknown,Unknown
Tecta America,Leonard Green & Partners,tectaamerica.com,"950,000,000",Unknown,Unknown,Unknown
TenCate,Leonard Green & Partners,tencategrass.com,"1,750,000,000",Unknown,Unknown,Unknown
Troon Golf,Leonard Green & Partners,troon.com,"1,800,000,000",Unknown,Unknown,Unknown
Union Square Hospitality Group (USHG),Leonard Green & Partners,ushgnyc.com,"10,400,000",Unknown,Unknown,Unknown
Velvet Taco,Leonard Green & Partners,velvettaco.com,"137,600,000",Unknown,Unknown,Unknown
Veritext,Leonard Green & Partners,veritext.com,"480,000,000",AWS,Unknown,Unknown
Visual Comfort & Co.,Leonard Green & Partners,visualcomfort.com,"750,000,000",Unknown,Unknown,Unknown
Vital Care,Leonard Green & Partners,vitalcare.com,Unknown,Unknown,Unknown,Unknown
WCG,Leonard Green & Partners,wcgclinical.com,"497,500,000",Unknown,Unknown,Unknown
WellSky,Leonard Green & Partners,wellsky.com,"750,000,000",AWS,GCP,Unknown
West Shore Home,Leonard Green & Partners,westshorehome.com,"1,000,000,000",Unknown,Unknown,Unknown
The Wrench Group,Leonard Green & Partners,wrenchgroup.com,"1,500,000,000",Unknown,Unknown,Unknown
Zaxby's,Leonard Green & Partners,zaxbys.com,"2,662,422,000",Unknown,Unknown,Unknown
