Portco,PE Firm,Website,HQ Location,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
One.com,Accel-KKR,https://www.one.com/,"Malmö, Sweden",Unknown,Unknown,Unknown,Unknown
OneShield,Accel-KKR,https://oneshield.com/,"Marlborough, Massachusetts, US",63000000,Unknown,Unknown,Unknown
Opera Solutions,Accel-KKR,https://www.operasolutions.com/,"Jersey City, New Jersey, US",33300000,Unknown,Unknown,Unknown
OrderMyGear,Accel-KKR,https://ordermygear.com/,"Dallas, Texas, US",81600000,Unknown,Unknown,Unknown
OrthoFi,Accel-KKR,https://orthofi.com/,"Denver, Colorado, US",43100000,Unknown,Unknown,Unknown
Pacera,Accel-KKR,https://www.pacera.com/,Nordic Region (Oslo/Stockholm),Unknown,Unknown,Unknown,Unknown
PageUp People,Accel-KKR,https://www.pageuppeople.com/,"Melbourne, Victoria, Australia",61000000,Unknown,Unknown,Unknown
Partnerize,Accel-KKR,https://partnerize.com/,"Newcastle upon Tyne, UK",Unknown,Unknown,Unknown,Unknown
Patientco,Accel-KKR,https://www.patientco.com/,"Atlanta, Georgia, US",Unknown,Unknown,Unknown,Unknown
Paymentus (NYSE: PAY),Accel-KKR,https://www.paymentus.com/,"Charlotte, North Carolina, US",1196507000,AWS,Unknown,Unknown
Pegasus Management,Accel-KKR,https://www.pegasus.net.au/,"Newcastle, New South Wales, Australia",26700000,Azure,Unknown,Unknown
Peppermint Technology,Accel-KKR,https://www.pepperminttechnology.com/,"London, UK",25700000,Azure,Unknown,Unknown
Phocas Software,Accel-KKR,https://www.phocassoftware.com/,"Sydney, New South Wales, Australia",36300000,AWS,Unknown,Unknown
PointRight,Accel-KKR,https://www.pointright.com/,"Cambridge, Massachusetts, US",17700000,Unknown,Unknown,Unknown
PrismHR,Accel-KKR,https://www.prismhr.com/,"Hopkinton, Massachusetts, US",48600000,AWS,Azure,GCP
PropLogix,Accel-KKR,https://www.proplogix.com/,"Sarasota, Florida, US",19800000,Unknown,Unknown,Unknown
Quartex,Accel-KKR,https://quartexsoftware.com/,"Subiaco, Australia",Unknown,Snowflake,Unknown,Unknown
Rackspace,Accel-KKR,https://www.rackspace.com/,"San Antonio, Texas, US",2686000000,AWS,Azure,GCP
Reapit,Accel-KKR,https://www.reapit.com/,"London, UK",25700000,AWS,Unknown,Unknown
Recurly,Accel-KKR,https://recurly.com/,"San Francisco, California, US",Unknown,Unknown,Unknown,Unknown
REG Technologies,Accel-KKR,https://reg.uk.com/,"London, UK",21400000,Unknown,Unknown,Unknown
Residex,Accel-KKR,https://www.residex.ai/,"Minneapolis, Minnesota, US",Unknown,Unknown,Unknown,Unknown
RiseSmart,Accel-KKR,https://www.randstadenterprise.com/randstad-risesmart,"San Jose, California, US",391000000,Unknown,Unknown,Unknown
Saber,Accel-KKR,Unknown,"Portland, Oregon, US",Unknown,Unknown,Unknown,Unknown
Safeguard Global,Accel-KKR,https://www.safeguardglobal.com/,"Austin, Texas, US",753600000,Azure,Unknown,Unknown
Salary.com,Accel-KKR,https://www.salary.com/,"Waltham, Massachusetts, US",62800000,Unknown,Unknown,Unknown
Salsa Labs,Accel-KKR,https://www.bonterratech.com/,"Bethesda, Maryland, US",8200000,Unknown,Unknown,Unknown
Sandata Technologies,Accel-KKR,https://www.sandata.com/,"Port Washington, New York, US",72400000,Unknown,Unknown,Unknown
Savista,Accel-KKR,https://www.savistarcm.com/,Unknown,Unknown,Unknown,Unknown,Unknown
Seequent,Accel-KKR,https://www.seequent.com/,"Christchurch, New Zealand",106000000,Unknown,Unknown,Unknown
Sensor Tower,Accel-KKR,https://sensortower.com/,"San Francisco, California, US",84400000,AWS,Unknown,Unknown
ShowingTime,Accel-KKR,https://www.showingtime.com/,"Chicago, Illinois, US",Unknown,Unknown,Unknown,Unknown
Siigo,Accel-KKR,https://www.siigo.com/,"Bogota, Colombia",63200000,Azure,Unknown,Unknown
Singletrack,Accel-KKR,https://www.singletrack.com/,"London, UK",12100000,AWS,Unknown,Unknown
SIS,Accel-KKR,https://www.sisfirst.com/,"Alpharetta, Georgia, US",231600000,AWS,Azure,Unknown
Smart Communications,Accel-KKR,https://www.smartcommunications.com/,"London, UK",Unknown,AWS,Unknown,Unknown
Springbrook Software,Accel-KKR,https://springbrooksoftware.com/,"American Fork, Utah, US",62800000,AWS,Unknown,Unknown
StoreForce,Accel-KKR,https://www.storeforce.com/,"Milton Keynes, UK",Unknown,AWS,Unknown,Unknown
Submittable,Accel-KKR,https://www.submittable.com/,"Missoula, Montana, US",Unknown,AWS,Unknown,Unknown
SugarCRM,Accel-KKR,https://www.sugarcrm.com/,"San Francisco, California, US",227500000,AWS,Azure,IBM Cloud
Sycurio,Accel-KKR,https://sycurio.com/,"Guildford, Surrey, UK",24800000,Unknown,Unknown,Unknown
Symfonia,Accel-KKR,https://symfonia.pl/,"Warsaw, Poland",21900000,Unknown,Unknown,Unknown
Systems & Software,Accel-KKR,https://ssandt.com/,"Colchester, Vermont, US",Unknown,Unknown,Unknown,Unknown
Tactiq,Accel-KKR,https://www.tactiq.io/,"Sydney, New South Wales, Australia",1600000,Unknown,Unknown,Unknown
Tai Software,Accel-KKR,https://tai-software.com/,"Huntington Beach, California, US",15900000,Unknown,Unknown,Unknown
TapClicks,Accel-KKR,https://www.tapclicks.com/,"San Jose, California, US",56100000,Unknown,Unknown,Unknown
TaxDome,Accel-KKR,https://taxdome.com/,"New York, New York, US",100000000,Unknown,Unknown,Unknown
TEAM Software,Accel-KKR,https://teamsoftware.com/,"Omaha, Nebraska, US",48300000,Unknown,Unknown,Unknown
Teamcore,Accel-KKR,https://www.teamcore.com/,"Santiago, Chile",Unknown,Unknown,Unknown,Unknown
