Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider_1,Cloud_Provider_2,Cloud_Provider_3
DCC plc,KKR,https://www.dcc.ie,"$23,270,000,000",Unknown,Unknown,Unknown
Deezer,KKR,Unknown,"$560,000,000",Google Cloud,Unknown,Unknown
Ecorbit,KKR,http://www.ecorbit.com,"$524,700,000",GCP,Unknown,Unknown
EFG Hermes,KKR,https://efghldg.com/,"$308,700,000",Azure,Unknown,Unknown
Eleda,KKR,https://eleda.se/?lang=en,"$1,900,000,000",Unknown,Unknown,Unknown
Enpal,KKR,https://www.enpal.de,"$990,000,000",Azure,Unknown,Unknown
ERM (consultancy),KKR,https://www.erm.com,"$1,300,000,000",Unknown,Unknown,Unknown
Exact (company),KKR,https://www.exact.com,"$229,900,000",AWS,Azure,Unknown
FGS Global,KKR,https://fgsglobal.com/,"$465,000,000",Unknown,Unknown,Unknown
Five9,KKR,https://www.five9.com/,"$1,100,000,000",Unknown,Unknown,Unknown
Flow Control Group,KKR,https://flowcontrolgroup.com/,"$1,000,000,000",Unknown,Unknown,Unknown
Flow Traders,KKR,https://www.flowtraders.com/,"$880,858,000",Unknown,Unknown,Unknown
Gibson Brands,KKR,Unknown,"$990,000,000",Azure,Oracle Cloud,SAP
GoDaddy,KKR,https://www.godaddy.com,"$4,570,000,000",AWS,GCP,Unknown
GoTo,KKR,https://www.goto.com/,"$1,040,000,000",Unknown,Unknown,Unknown
Graduation Alliance,KKR,https://www.graduationalliance.com/,"$97,200,000",Unknown,Unknown,Unknown
GreenSky,KKR,https://www.greensky.com/,"$518,100,000",Unknown,Unknown,Unknown
Groundworks,KKR,Unknown,"$574,100,000",Unknown,Unknown,Unknown
H.B. Fuller,KKR,https://www.hbfuller.com,"$3,570,000,000",Unknown,Unknown,Unknown
HCA Healthcare,KKR,https://www.hcahealthcare.com,"$70,603,000,000",GCP,Unknown,Unknown
Henry Company,KKR,Unknown,"$511,000,000",AWS,Azure,GCP
Hensoldt,KKR,https://www.hensoldt.net/,"$2,464,000,000",SAP Cloud,Unknown,Unknown
Home Partners of America,KKR,Unknown,$50M - $100M,Unknown,Unknown,Unknown
Hyperoptic,KKR,http://www.hyperoptic.com,"$116,750,000",Unknown,Unknown,Unknown
ICU Medical,KKR,https://www.icumed.com/,"$2,380,000,000",Unknown,Unknown,Unknown
Immedica Pharma,KKR,https://www.immedica.com/en,"$85,975,000",Unknown,Unknown,Unknown
Industrial Physics,KKR,Unknown,"$295,200,000",Unknown,Unknown,Unknown
Infobip,KKR,https://www.infobip.com/,"$2,312,500,000",Azure,Unknown,Unknown
Infratil,KKR,https://infratil.com,"$1,890,000,000",AWS,Azure,GCP
InPost,KKR,https://inpost.pl,"$2,730,000,000",Unknown,Unknown,Unknown
Internet Brands,KKR,https://www.internetbrands.com,"$1,600,000,000",Unknown,Unknown,Unknown
Iris Software Group,KKR,https://www.iris.co.uk/,"$750,000,000",Azure,Unknown,Unknown
Optiv,KKR,https://www.optiv.com,"$2,500,000,000",GCP,Unknown,Unknown
PetSmart,KKR,https://www.petsmart.com,"$14,100,000,000",AWS,Unknown,Unknown
Viridor,KKR,https://www.viridor.co.uk,"$393,700,000",Azure,Unknown,Unknown
Wella,KKR,https://www.wella.com,"$2,000,000,000",Azure,Unknown,Unknown
